EmMap1

Labels,Ex1 200.00nm(ExEmMap),Ex1 205.00nm(ExEmMap),Ex1 210.00nm(ExEmMap),Ex1 215.00nm(ExEmMap),Ex1 220.00nm(ExEmMap),Ex1 225.00nm(ExEmMap),Ex1 230.00nm(ExEmMap),Ex1 235.00nm(ExEmMap),Ex1 240.00nm(ExEmMap),Ex1 245.00nm(ExEmMap),Ex1 250.00nm(ExEmMap),Ex1 255.00nm(ExEmMap),Ex1 260.00nm(ExEmMap),Ex1 265.00nm(ExEmMap),Ex1 270.00nm(ExEmMap),Ex1 275.00nm(ExEmMap),Ex1 280.00nm(ExEmMap),Ex1 285.00nm(ExEmMap),Ex1 290.00nm(ExEmMap),Ex1 295.00nm(ExEmMap),Ex1 300.00nm(ExEmMap),Ex1 305.00nm(ExEmMap),Ex1 310.00nm(ExEmMap),Ex1 315.00nm(ExEmMap),Ex1 320.00nm(ExEmMap),Ex1 325.00nm(ExEmMap),Ex1 330.00nm(ExEmMap),Ex1 335.00nm(ExEmMap),Ex1 340.00nm(ExEmMap),Ex1 345.00nm(ExEmMap),Ex1 350.00nm(ExEmMap),Ex1 355.00nm(ExEmMap),Ex1 360.00nm(ExEmMap),Ex1 365.00nm(ExEmMap),Ex1 370.00nm(ExEmMap),Ex1 375.00nm(ExEmMap),Ex1 380.00nm(ExEmMap),Ex1 385.00nm(ExEmMap),Ex1 390.00nm(ExEmMap),Ex1 395.00nm(ExEmMap),Ex1 400.00nm(ExEmMap),
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,405.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,
Fixed/Offset,200.00,205.00,210.00,215.00,220.00,225.00,230.00,235.00,240.00,245.00,250.00,255.00,260.00,265.00,270.00,275.00,280.00,285.00,290.00,295.00,300.00,305.00,310.00,315.00,320.00,325.00,330.00,335.00,340.00,345.00,350.00,355.00,360.00,365.00,370.00,375.00,380.00,385.00,390.00,395.00,400.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
