Labels,honglan  80K pl,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,750.00,
Step,2.00,
Fixed/Offset,365.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Microsecond Flashlamp,
Temp,79.9640,
Scan Polariser,None,
Scan Slit,13.000027,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,14.999970,
Detector,PMT-900,

400.00,6.75695850E+3,
402.00,7.87745410E+3,
404.00,8.91169824E+3,
406.00,1.06451904E+4,
408.00,1.24214893E+4,
410.00,1.54933916E+4,
412.00,1.71690430E+4,
414.00,1.86971563E+4,
416.00,1.95712402E+4,
418.00,2.04482266E+4,
420.00,2.09876055E+4,
422.00,2.18244688E+4,
424.00,2.19218633E+4,
426.00,2.17025254E+4,
428.00,2.21686719E+4,
430.00,2.25332207E+4,
432.00,2.33669785E+4,
434.00,2.42033223E+4,
436.00,2.54076133E+4,
438.00,2.69799707E+4,
440.00,2.83627363E+4,
442.00,3.01578730E+4,
444.00,3.22724629E+4,
446.00,3.48927773E+4,
448.00,3.63359023E+4,
450.00,3.50958594E+4,
452.00,3.43750313E+4,
454.00,3.33728633E+4,
456.00,3.23242168E+4,
458.00,3.20778242E+4,
460.00,3.15791895E+4,
462.00,3.11605820E+4,
464.00,3.19007793E+4,
466.00,3.15275332E+4,
468.00,3.19793203E+4,
470.00,3.27514551E+4,
472.00,3.27345488E+4,
474.00,3.44823320E+4,
476.00,3.45870938E+4,
478.00,3.47481289E+4,
480.00,3.49976406E+4,
482.00,3.55009688E+4,
484.00,3.58511953E+4,
486.00,3.59129727E+4,
488.00,3.53797422E+4,
490.00,3.49861680E+4,
492.00,3.47429023E+4,
494.00,3.39446484E+4,
496.00,3.30924141E+4,
498.00,3.22239082E+4,
500.00,3.16488457E+4,
502.00,3.09415879E+4,
504.00,3.03459336E+4,
506.00,2.99619473E+4,
508.00,2.93235195E+4,
510.00,2.87490469E+4,
512.00,2.87419004E+4,
514.00,2.82852168E+4,
516.00,2.83211445E+4,
518.00,2.75182285E+4,
520.00,2.75516367E+4,
522.00,2.74758242E+4,
524.00,2.64105430E+4,
526.00,2.61580098E+4,
528.00,2.58037285E+4,
530.00,2.48300430E+4,
532.00,2.47499922E+4,
534.00,2.41273418E+4,
536.00,2.38238770E+4,
538.00,2.40606016E+4,
540.00,2.41333789E+4,
542.00,2.46912930E+4,
544.00,2.50258105E+4,
546.00,2.56312852E+4,
548.00,2.62238613E+4,
550.00,2.68385371E+4,
552.00,2.79261348E+4,
554.00,2.76057480E+4,
556.00,2.82611172E+4,
558.00,2.89079414E+4,
560.00,2.85793945E+4,
562.00,2.87091680E+4,
564.00,2.83418105E+4,
566.00,2.77227422E+4,
568.00,2.72109023E+4,
570.00,2.72469902E+4,
572.00,2.62971777E+4,
574.00,2.56002051E+4,
576.00,2.49726348E+4,
578.00,2.40121543E+4,
580.00,2.33278828E+4,
582.00,2.27644629E+4,
584.00,2.28437695E+4,
586.00,2.11195430E+4,
588.00,2.12611758E+4,
590.00,2.09143066E+4,
592.00,2.03764727E+4,
594.00,2.02371582E+4,
596.00,2.06075332E+4,
598.00,2.00781035E+4,
600.00,1.98467188E+4,
602.00,1.92626387E+4,
604.00,1.94615664E+4,
606.00,1.83449297E+4,
608.00,1.88455566E+4,
610.00,1.76961328E+4,
612.00,1.78783965E+4,
614.00,1.74958145E+4,
616.00,1.71145332E+4,
618.00,1.60117891E+4,
620.00,1.61254697E+4,
622.00,1.54516992E+4,
624.00,1.50365898E+4,
626.00,1.45517549E+4,
628.00,1.38183135E+4,
630.00,1.37220566E+4,
632.00,1.36760078E+4,
634.00,1.23979893E+4,
636.00,1.25512236E+4,
638.00,1.19431016E+4,
640.00,1.11964932E+4,
642.00,1.10038496E+4,
644.00,1.03862031E+4,
646.00,1.01310840E+4,
648.00,1.00762764E+4,
650.00,9.56634473E+3,
652.00,9.57918750E+3,
654.00,8.73146973E+3,
656.00,9.01072461E+3,
658.00,9.00169043E+3,
660.00,8.36044434E+3,
662.00,8.06462500E+3,
664.00,7.83729785E+3,
666.00,7.59527490E+3,
668.00,7.80597949E+3,
670.00,7.26995508E+3,
672.00,7.70250293E+3,
674.00,7.99395068E+3,
676.00,8.06862402E+3,
678.00,7.62014258E+3,
680.00,5.82883398E+3,
682.00,5.49621973E+3,
684.00,5.16424609E+3,
686.00,5.37049902E+3,
688.00,4.89011816E+3,
690.00,4.86215234E+3,
692.00,4.98101904E+3,
694.00,4.39594434E+3,
696.00,4.34026221E+3,
698.00,4.20800781E+3,
700.00,3.99326221E+3,
702.00,4.54928857E+3,
704.00,3.76442700E+3,
706.00,4.09038306E+3,
708.00,3.26854810E+3,
710.00,3.30429053E+3,
712.00,3.40742578E+3,
714.00,3.56990942E+3,
716.00,3.28623804E+3,
718.00,3.04634912E+3,
720.00,2.81234424E+3,
722.00,3.18302930E+3,
724.00,2.88255835E+3,
726.00,2.64599707E+3,
728.00,2.19265552E+3,
730.00,2.46777588E+3,
732.00,2.59098657E+3,
734.00,2.62430688E+3,
736.00,2.10731934E+3,
738.00,2.55483521E+3,
740.00,2.31791089E+3,
742.00,2.10890161E+3,
744.00,2.27000684E+3,
746.00,1.75069531E+3,
748.00,1.81315247E+3,
750.00,1.67139734E+3,
